제1조(목적)
제2조(정의)
제2조의2(국가와 지방자치단체의 책무)
제3조(소방기관의 설치 등)
제3조의2(소방공무원의 배치)
제3조의3(다른 법률과의 관계)
제4조(119종합상황실의 설치와 운영)
제4조의2(소방기술민원센터의 설치ㆍ운영)
제4조의2(소방정보통신망 구축ㆍ운영)
제4조의3(소방기술민원센터의 설치ㆍ운영)
제5조(소방박물관 등의 설립과 운영)
제6조(소방업무에 관한 종합계획의 수립ㆍ시행 등)
제7조(소방의 날 제정과 운영 등)
제8조(소방력의 기준 등)
제9조(소방장비 등에 대한 국고보조)
제10조(소방용수시설의 설치 및 관리 등)
제11조(소방업무의 응원)
제11조의2(소방력의 동원)
제12조
제13조
제14조
제15조
제16조(소방활동)
제16조의2(소방지원활동)
제16조의3(생활안전활동)
제16조의4(소방자동차의 보험 가입 등)
제16조의5(소방활동에 대한 면책)
제16조의6(소송지원)
제17조(소방교육ㆍ훈련)
제17조(소방교육ㆍ훈련)
제17조의2(소방안전교육사)
제17조의3(소방안전교육사의 결격사유)
제17조의4(부정행위자에 대한 조치)
제17조의5(소방안전교육사의 배치)
제17조의6(한국119청소년단)
제18조(소방신호)
제19조(화재 등의 통지)
제20조(관계인의 소방활동 등)
제20조의2(자체소방대의 설치ㆍ운영 등)
제21조(소방자동차의 우선 통행 등)
제21조의2(소방자동차 전용구역 등)
제21조의3(소방자동차 교통안전 분석 시스템 구축ㆍ운영)
제22조(소방대의 긴급통행)
제23조(소방활동구역의 설정)
제24조(소방활동 종사 명령)
제25조(강제처분 등)
제26조(피난 명령)
제27조(위험시설 등에 대한 긴급조치)
제27조의2(방해행위의 제지 등)
제28조(소방용수시설 또는 비상소화장치의 사용금지 등)
제29조
제30조
제31조
제32조
제33조
제34조(구조대 및 구급대의 편성과 운영)
제35조
제36조
제37조(의용소방대의 설치 및 운영)
제38조
제39조
제39조의2
제39조의3(국가의 책무)
제39조의4
제39조의5(소방산업과 관련된 기술개발 등의 지원)
제39조의6(소방기술의 연구ㆍ개발사업 수행)
제39조의7(소방기술 및 소방산업의 국제화사업)
제40조(한국소방안전원의 설립 등)
제40조의2(교육계획의 수립 및 평가 등)
제41조(안전원의 업무)
제42조(회원의 관리)
제43조(안전원의 정관)
제44조(안전원의 운영 경비)
제44조의2(안전원의 임원)
제44조의3(유사명칭의 사용금지)
제45조
제46조
제47조
제48조(감독)
제49조(권한의 위임)
제49조의2(손실보상)
제49조의3(벌칙 적용에서 공무원 의제)
제50조(벌칙)
제51조(벌칙)
제52조(벌칙)
제53조
제54조(벌칙)
제54조의2(「형법」상 감경규정에 관한 특례)
제55조(양벌규정)
제56조(과태료)
제57조(과태료)
 부      칙
제1조 (시행일)
제2조 (다른 법률의 폐지)
제3조 (종전의 소방법에 따른 처분 등에 관한 경과조치)
제4조 (한국소방안전협회 및 한국소방검정공사에 관한 경과조치)
제5조 (다른 법률의 개정)
제6조 (다른 법령과의 관계)
 부      칙
 부      칙
제1조 (시행일)
제2조
제6조 (다른 법률의 개정)
제7조
 부      칙
제1조 (시행일)
제2조
제40조 (다른 법령의 개정)
제41조
 부      칙
 부      칙
제1조 (시행일)
제2조
제19조 (다른 법률의 개정)
제20조
 부      칙
제1조 (시행일)
제2조
제3조 (다른 법률의 개정)
제4조
 부      칙
 부      칙
제1조 (시행일)
제2조
제6조 (다른 법률의 개정)
제7조
 부      칙
제1조(시행일)
제2조
제3조(다른 법률의 개정)
 부      칙
 부      칙
제1조(시행일)
제2조
제4조(다른 법률의 개정)
제5조
 부      칙
 부      칙
제1조(시행일)
제2조(다른 법률의 개정)
제3조
 부      칙
 부      칙
제1조(시행일)
제2조
제6조(다른 법률의 개정)
 부      칙
 부      칙
제1조(시행일)
제2조
제6조(다른 법률의 개정)
 부      칙
제1조(시행일)
제2조
제6조(다른 법률의 개정)
제7조
 부      칙
제1조(시행일)
제2조
제3조(다른 법률의 개정)
 부      칙
제1조(시행일)
제2조
제6조(다른 법률의 개정)
제7조
 부      칙
 부      칙
제1조(시행일)
제2조(종합계획 및 세부계획의 수립ㆍ시행에 관한 경과조치)
 부      칙
제1조(시행일)
제2조(부정행위자에 대한 적용례)
제3조(금치산자 등에 대한 경과조치)
 부      칙
제1조(시행일)
제2조
제3조(다른 법률의 개정)
 부      칙
제1조(시행일)
제2조
제5조(다른 법률의 개정)
제6조
 부      칙
제1조(시행일)
제2조(안전원의 설립준비)
제3조(안전원의 설립등기)
제4조(한국소방안전협회에 대한 경과조치)
제5조(다른 법률의 개정)
제6조(다른 법령과의 관계)
 부      칙
제1조(시행일)
제2조(다른 법률의 개정)
 부      칙
제1조(시행일)
제2조(전용구역에 관한 적용례)
 부      칙
 부      칙
 부      칙
제1조(시행일)
제2조(한국119소년단연맹에 관한 경과조치)
 부      칙
 부      칙
제1조(시행일)
제2조
제7조(다른 법률의 개정)
제8조
 부      칙
 부      칙
 부      칙
제1조(시행일)
제2조
제6조(다른 법률의 개정)
제7조
 부      칙
제1조(시행일)
제2조(「형법」상 감경규정에 관한 특례에 관한 적용례)
 부      칙
제1조(시행일)
제2조
제14조(다른 법률의 개정)
제15조
 부      칙
제1조(시행일)
제2조
제14조(다른 법률의 개정)
제15조
 부      칙
제1조(시행일)
제2조(운행기록장치 장착에 관한 경과조치)
