브랜드,이름,성별,TPO,계절감,향의농도,특성,,,,,,,,,,,,,,,,
6,덩떼브하EDP,여성,캐쥬얼,"봄,가을,겨울",중간,"우디,파우더리,머스크,앰버,플로럴",,,매우만족1,프레데릭말,,,,매우만족1,만족2,보통3,싫음4,매우싫음5,,,,
7,그린리EDP,남성,캐쥬얼,"봄,여름",가벼운,"우디,시트러스,머스크,그린,스파이시",,,,퍼퓸드말리,7,,,,,,,,,,,
7,새들리EDP,남성,캐쥬얼,"봄,여름",가벼운,"시트러스,아로마틱,워터리,우디,라벤더",,,,퍼퓸드말리,,,,***쎈스쟁이와 협업도 생각***,,,,,,,,
7,페가수스EDP,남성,캐쥬얼,"봄,가을,겨울",중간,"바닐라,우디,파우더리,너티,라벤더",,,,퍼퓸드말리,,,,,,,,,,,,
7,레이튼EDP,남성,캐쥬얼,"봄,가을,겨울",무거운,"스파이시,바닐라,우디,프루티,파우더리",,,,퍼퓸드말리,,,,한계,,,,,,,,
7,칼란EDP,중성,포멀,"봄,가을,겨울",무거운,"스파이시,우디,시트러스,플로럴,앰버",,,문제점,퍼퓸드말리,,,,"일반인들은 향수에 크게 관심이 없고, 자신이 향수의 어떤 특성을 좋아하는지 명확하게 모른다",,,,,,,,
7,칼라일EDP,남성,포멀,"가을,겨울",무거운,"우디,머스크,바닐라,타바코,프루티",,,,퍼퓸드말리,,,,향이 남성이나 중성쪽으로 치우침,,,,,,,,
7,갤러웨이EDP,남성,캐쥬얼,"봄,여름",중간,"시트러스,머스크,파우더리,플로럴,프레쉬",,,,퍼퓸드말리,,,,설문시 응답자가 써봤던 향수가 데이터 안에 없을 수 있음,,,,,,,,
7,고돌핀EDP,중성,포멀,"가을,겨울",중간,"레더,프루티,아로마틱,우디,스모키",,,,퍼퓸드말리,,,,"일반적으로 사용하는 대중적인 브랜드의 향수가 아닌 니치향수 계열(호불호 강함, 응답에 부정적인 영향이 있을 수 있음)",,,,,,,,
7,헤로드EDP,남성,포멀,"봄,가을,겨울",무거운,"타바코,바닐라,스파이시,앰버,우디",,,,퍼퓸드말리,,,,"향수는 일반적으로 한번에 좋아지기보다는 시간이 조금 지나고 향에 익숙해지면 좋아지는 경향이 있음(본인 경험, 추천시 정확도에 문제가 될 수 있음)",,,,,,,,
7,페가수스익스클루시브PARFUM,남성,포멀,"가을,겨울",무거운,"우디,바닐라,파우더리,스파이시,너티",,,,퍼퓸드말리,,,,,,,,,,,,
7,레이튼익스클루시브PARFUM,남성,포멀,"가을,겨울",무거운,"프루티,우디,스파이시,바닐라,프루티",,,,퍼퓸드말리,,,,,,,,,,,,
7,할테인PARFUM,남성,포멀,"가을,겨울",무거운,"플로럴,우디,스파이시,라벤더,레더",,,,퍼퓸드말리,,,,,,,,,,,,
7,퍼시벌EDP,남성,포멀,"봄,여름,가을",중간,"앰버,우디,아로마틱,시트러스,머스크",,,,퍼퓸드말리,,,,,,,,,,,,
8,라르브레데라꼬네상스EDP,중성,캐쥬얼,"봄,여름,가을",중간,"그린,우디,프레쉬,얼씨,프루티",,,,조보이,8,,,,,,,,,,,
8,가르데무아EDP,여성,포멀,"봄,여름,가을",중간,"플로럴,파우더리,우디,그린,아로마틱",,,,조보이,,,,,,,,,,,,
8,사이키델릭EDP,남성,포멀,"가을,겨울",무거운,"앰버,우디,스파이시,얼씨,머스크",,,,조보이,,,,,,,,,,,,
8,라르드라게르EDP,중성,캐쥬얼,"봄,가을,겨울",중간,"레더,아로마틱,스파이시,그린,프루티",,,,조보이,,,,,,,,,,,,
8,파이어앳윌EDP,중성,캐쥬얼,"가을,겨울",무거운,"앰버,파우더리,바닐라,머스크,플로럴",,,,조보이,,,,,,,,,,,,
9,플로로PARFUM,여성,캐쥬얼,"봄,여름,가을",중간,"프루티,우디,프레쉬,파우더리,그린",,,,제로보암,9,,,,,,,,,,,
9,오리엔토PARFUM,남성,"캐쥬얼,포멀","봄,여름,가을",무거운,"로즈,프루티,우디,스파이시,머스크",,,,제로보암,,,,,,,,,,,,
9,오리지노PARFUM,중성,캐쥬얼,"봄,가을",중간,"프레쉬,우디,그린,머스크,파우더리",,,,제로보암,,,,,,,,,,,,
9,베스페로PARFUM,중성,"캐쥬얼,포멀","봄,여름,가을",무거운,"우디,레더,그린,스파이시,머스크",,,,제로보암,,,,,,,,,,,,
10,쿠이르코라EDP,남성,포멀,"가을,겨울",무거운,"스파이시,앰버,레더,우디,프루티",,,,오케스트라퍼퓸,10,,,,,,,,,,,
11,사이드이펙트EDP,여성,포멀,"가을,겨울",무거운,"부지,타바코,바닐라,스파이시,우디",,,,이니시오,11,,,,,,,,,,,
11,오우드포그레이트니스EDP,남성,포멀,"가을,겨울",무거운,"스파이시,우디,그린,메탈릭,머스크",,,,이니시오,,,,,,,,,,,,
12,이탈리안레더EDP,남성,포멀,"가을,겨울",무거운,"그린,스파이시,바닐라,레더,앰버",,,,메모,12,,,,,,,,,,,
12,일하도멜EDP,여성,캐쥬얼,"봄,여름,가을",중간,"플로럴,그린,프레쉬,스파이시,파우더리",,,,메모,,,,,,,,,,,,
13,클럽디누잇EDP,남성,포멀,"여름,가을,겨울",무거운,"시트러스,우디,머스크,앰버,스파이시",,,,알마프,13,,,,,,,,,,,
13,클럽디누잇리미티드에디션EDP,남성,포멀,"여름,가을,겨울",무거운,"시트러스,우디,머스크,앰버,스파이시",,,,알마프,,,,,,,,,,,,
13,클럽디누잇시아지EDP,남성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,머스크,프레쉬,머스크",,,,알마프,,,,,,,,,,,,
13,클럽디누잇포우먼EDP,중성,포멀,"가을,겨울",무거운,"우디,플로럴,스파이시,얼씨,스모키",,,,알마프,,,,,,,,,,,,
14,슈프리머시낫온리인텐스PARFUM,남성,포멀,"여름,가을,겨울",무거운,"시트러스,우디,머스크,앰버,스파이시",,,,아프난,14,,,,,,,,,,,
15,어벤투스EDP,남성,포멀,사계절,중간,"프루티,레더,우디,스모키,머스크",,,,크리드,15,,,,,,,,,,,
15,어벤투스포허EDP,중성,포멀,사계절,중간,"프루티,우디,시트러스,파우더리,머스크",,,,크리드,,,,,,,,,,,,
15,브와뒤포르투갈EDP,남성,포멀,"봄,가을,겨울",무거운,"우디,아로마틱,라벤더,파우더리,스파이시",,,,크리드,,,,,,,,,,,,
15,그린아이리쉬트위드EDP,중성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"시트러스,프레쉬,우디,워터리,그린",,,,크리드,,,,,,,,,,,,
15,밀레지움임페리얼EDP,중성,"캐쥬얼,포멀","봄,여름",중간,"마린,시트러스,프루티,파우더리,우디",,,,크리드,,,,,,,,,,,,
15,바이킹EDP,남성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"아로마틱,우디,시트러스,라벤더,스파이시",,,,크리드,,,,,,,,,,,,
15,실버마운틴EDP,중성,"캐쥬얼,포멀","봄,여름",가벼운,"워터리,그린,프루티,머스크,파우더리",,,,크리드,,,,,,,,,,,,
15,로얄워터EDP,중성,"캐쥬얼,포멀","봄,여름",가벼운,"그린,스파이시,시트러스,아로마틱,프레쉬",,,,크리드,,,,,,,,,,,,
15,로얄오우드EDP,남성,포멀,"가을,겨울",무거운,"우디,아로마틱,머스크,파우더리,스파이시",,,,크리드,,,,,,,,,,,,
15,버진아일랜드워터EDP,중성,"캐쥬얼,포멀","봄,여름",가벼운,"시트러스,코코넛,바닐라,부지,우디",,,,크리드,,,,,,,,,,,,
16,블랙아프가노PARFUM,남성,포멀,"가을,겨울",무거운,"앰버,스모키,우디,그린,타바코",,,,나소마토,16,,,,,,,,,,,
17,패츌리EDP,남성,포멀,"가을,겨울",무거운,"우디,얼씨,스파이시,그린,스모키",,,,산타마리아노벨라,17,,,,,,,,,,,
17,프리지아EDT,여성,"캐쥬얼,포멀","봄,여름",가벼운,"플로럴,파우더리,로즈,머스크,프레쉬",,,,산타마리아노벨라,,,,,,,,,,,,
18,디올옴므인텐스EDP,남성,포멀,"가을,겨울",무거운,"파우더리,우디,얼씨,플로럴,머스크",,,,디올,18,,,,,,,,,,,
18,디올옴므퍼퓸PARFUM,남성,포멀,"가을,겨울",무거운,"파우더리,우디,얼씨,레더,머스크",,,,디올,,,,,,,,,,,,
18,디올소바쥬EDT,남성,포멀,"봄,가을,겨울",무거운,"시트러스,앰버,라벤더,아로마틱,머스크",,,,디올,,,,,,,,,,,,
18,미스디올로즈앤로지스EDP,여성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"로즈,시트러스,머스크,플로럴,파우더리",,,,디올,,,,,,,,,,,,
19,샤넬넘버5EDP,여성,포멀,"가을,겨울",무거운,"우디,프레쉬,플로럴,파우더리,얼씨",,,,샤넬,19,,,,,,,,,,,
19,블루드샤넬EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,아로마틱,앰버,시트러스,스파이시",,,,샤넬,,,,,,,,,,,,
19,알뤼르옴므EDP,남성,캐쥬얼,사계절,중간,"아로마틱,우디,시트러스,바닐라,프레쉬",,,,샤넬,,,,,,,,,,,,
19,코코마드모아젤로프리베EDP,여성,"캐쥬얼,포멀",사계절,중간,"시트러스,로즈,머스크,플로럴,파우더리",,,,샤넬,,,,,,,,,,,,
20,서울신사동EDP,중성,"캐쥬얼,포멀",사계절,중간,"프루티,시트러스,아로마틱,프레쉬,우디",,,,자라,20,,,,,,,,,,,
20,타바코리치웜EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"코코넛,우디,부지,타바코,바닐라",,,,자라,,,,,,,,,,,,
20,맨골드EDP,남성,포멀,"봄,가을,겨울",무거운,"스파이시,시트러스,우디,앰버,머스크",,,,자라,,,,,,,,,,,,
20,맨실버EDP,남성,포멀,"가을,겨울",중간,"시트러스,마린,우디,스파이시,아로마틱",,,,자라,,,,,,,,,,,,
20,베티버 팜플무스EDP,중성,캐쥬얼,"봄,여름",중간,"시트러스,아로마틱,우디,스파이시,그린",,,,자라,,,,,,,,,,,,
20,튜베로즈느와EDP,여성,캐쥬얼,"봄,가을,겨울",중간,"플로럴,우디,그린,프레쉬,파우더리",,,,자라,,,,,,,,,,,,
20,아말피선레이EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,플로럴,얼씨,프레쉬",,,,자라,,,,,,,,,,,,
20,핑크플람베EDP,여성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,머스크,파우더리,앰버",,,,자라,,,,,,,,,,,,
21,헤르만EDP,중성,캐쥬얼,"봄,여름,가을",무거운,"로즈,머스크,우디,앰버,워터리",,,,에따리브르도랑쥬,21,,,,,,,,,,,
21,유오어썸원라이크유EDP,중성,캐쥬얼,"봄,여름",가벼운,"민트,그린,아로마틱,시트러스,프레쉬",,,,에따리브르도랑쥬,,,,,,,,,,,,
21,고스트인더쉘EDP,중성,캐쥬얼,"봄,여름,가을",가벼운,"머스크,마린,우디,플로럴,프레쉬",,,,에따리브르도랑쥬,,,,,,,,,,,,
22,토이보이EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"로즈,플로럴,머스크,우디,프레쉬",,,,모스키노,22,,,,,,,,,,,
23,러브어페어EDP,중성,포멀,"봄,가을,겨울",무거운,"플로럴,파우더리,머스크,우디,바닐라",,,,아이젠버그,23,,,,,,,,,,,
24,바이더파이어플레이스EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,바닐라,파우더리,너티",,,,메종마르지엘라,24,,,,,,,,,,,
24,재즈클럽EDP,남성,포멀,"가을,겨울",무거운,"부지,우디,바닐라,파우더리,스모키",,,,메종마르지엘라,,,,,,,,,,,,
24,소울오브더포레스트EDP,중성,포멀,"봄,가을,겨울",무거운,"우디,앰버,스파이시,그린,프레쉬",,,,메종마르지엘라,,,,,,,,,,,,
24,위스퍼스인더라이브러리EDP,중성,캐쥬얼,"가을,겨울",중간,"우디,바닐라,그린,스파이시,파우더리",,,,메종마르지엘라,,,,,,,,,,,,
25,티토니크EDP,중성,캐쥬얼,"봄,여름",가벼운,"우디,아로마틱,민트,그린,프레쉬",,,,밀러해리스,25,,,,,,,,,,,
26,오우드EDP,중성,포멀,"가을,겨울",무거운,"우디,시트러스,레더,아로마틱,머스크",,,,아쿠아디파르마,26,,,,,,,,,,,
27,블랙인센스말라키EDP,남성,포멀,"가을,겨울",무거운,"앰버,스모키,우디,레더,스파이시",,,,쇼파드,27,,,,,,,,,,,
27,오드말라키EDP,남성,포멀,"봄,가을,겨울",무거운,"타바코,우디,스파이시,레더,앰버",,,,쇼파드,,,,,,,,,,,,
27,네롤리아라카다멈드콰테말라EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,플로럴,아로마틱,프레쉬,그린",,,,쇼파드,,,,,,,,,,,,
28,상탈33EDP,중성,캐쥬얼,"봄,가을,겨울",무거운,"우디,파우더리,레더,스파이시,플로럴",,,,르라보,28,,,,,,,,,,,
28,떼누아29EDP,중성,캐쥬얼,"봄,가을,겨울",무거운,"우디,프루티,아로마틱,타바코,파우더리",,,,르라보,,,,,,,,,,,,
28,로즈31EDP,중성,캐쥬얼,사계절,중간,"우디,로즈,스파이시,아로마틱,머스크",,,,르라보,,,,,,,,,,,,
28,베티버46EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,앰버,아로마틱,스파이시,얼씨",,,,르라보,,,,,,,,,,,,
28,일랑49EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,얼씨,플로럴,스파이시,아로마틱",,,,르라보,,,,,,,,,,,,
28,어나더13EDP,중성,캐쥬얼,사계절,중간,"머스크,앰버,우디,파우더리,플로럴",,,,르라보,,,,,,,,,,,,
28,플레르도랑줴27EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,플로럴,아로마틱,프레쉬,스파이시",,,,르라보,,,,,,,,,,,,
28,리스41EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,바닐라,그린,머스크,우디",,,,르라보,,,,,,,,,,,,
28,베르가못22EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,아로마틱,우디,프레쉬,플로럴",,,,르라보,,,,,,,,,,,,
28,가이악10EDP,여성,캐쥬얼,"봄,가을,겨울",가벼운,"우디,머스크,파우더리,앰버,스모키",,,,르라보,,,,,,,,,,,,
29,오리온PARFUM,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"프루티,우디,스모키,레더,앰버",,,,티지아나테렌지,29,,,,,,,,,,,
29,네로오우드PARFUM,중성,포멀,"가을,겨울",무거운,"우디,스파이시,얼씨,로즈,메탈릭",,,,티지아나테렌지,,,,,,,,,,,,
29,라우다노네로PARFUM,남성,포멀,"가을,겨울",무거운,"우디,앰버,스모키,스파이시,타바코",,,,티지아나테렌지,,,,,,,,,,,,
30,바카랏루쥬EDP,여성,포멀,"봄,가을,겨울",무거운,"우디,앰버,스파이시,메탈릭,플로럴",,,,메종프란시스커정,30,,,,,,,,,,,
30,그랑수와EDP,중성,포멀,"가을,겨울",무거운,"앰버,바닐라,너티,플로럴,라벤더",,,,메종프란시스커정,,,,,,,,,,,,
30,실크무드PARFUM,중성,포멀,"가을,겨울",무거운,"로즈,우디,플로럴,그린,스파이시",,,,메종프란시스커정,,,,,,,,,,,,
30,사틴무드EDP,중성,포멀,"가을,겨울",무거운,"바닐라,로즈,우디,파우더리,앰버",,,,메종프란시스커정,,,,,,,,,,,,
30,젠틀플루이디티EDP,중성,포멀,"봄,가을,겨울",무거운,"바닐라,파우더리,앰버,우디,머스크",,,,메종프란시스커정,,,,,,,,,,,,
31,히비스커스마하자드PARFUM,여성,포멀,사계절,무거운,"플로럴,로즈,바닐라,머스크,레더",,,,메종크리벨리,31,,,,,,,,,,,
31,상탈볼캐니크EDP,남성,캐쥬얼,"가을,겨울",무거운,"스파이시,우디,파우더리,시트러스,아로마틱",,,,메종크리벨리,,,,,,,,,,,,
31,로즈살티폴리아EDP,여성,캐쥬얼,"봄,여름",가벼운,"마린,로즈,아로마틱,워터리,머스크",,,,메종크리벨리,,,,,,,,,,,,
31,압셍트보레알EDP,중성,"캐쥬얼,포멀","봄,여름,가을",중간,"아로마틱,프레쉬,우디,라벤더,부지",,,,메종크리벨리,,,,,,,,,,,,
32,블랙팬텀EDP,남성,포멀,"가을,겨울",무거운,"스파이시,부지,우디,프랄린,너티",,,,킬리안,32,,,,,,,,,,,
32,엔젤스쉐어EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,바닐라,앰버,파우더리",,,,킬리안,,,,,,,,,,,,
33,앙크르느와익스트림EDP,중성,"캐쥬얼,포멀",사계절,무거운,"우디,아로마틱,앰버,스모키,얼씨",,,,라리크,33,,,,,,,,,,,
34,루나EDP,여성,"캐쥬얼,포멀",사계절,가벼운,"시트러스,아로마틱,스파이시,로즈,우디",,,,펜할리곤스,34,,,,,,,,,,,
34,할페티EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,아로마틱,레더,파우더리",,,,펜할리곤스,,,,,,,,,,,,
35,떼르데르메스오인텐스베티버EDP,남성,"캐쥬얼,포멀",사계절,중간,"시트러스,아로마틱,스파이시,우디,얼씨",,,,에르메스,35,,,,,,,,,,,
36,상탈블랑EDP,중성,"캐쥬얼,포멀",사계절,가벼운,"우디,파우더리,프루티,머스크,바닐라",,,,반클리프앤아펠,36,,,,,,,,,,,
37,카사노바EDP,남성,"캐쥬얼,포멀","봄,가을",중간,"스파이시,라벤더,우디,바닐라,파우더리",,,,히스토리드퍼퓸,37,,,,,,,,,,,
38,오베드상EDP,여성,"캐쥬얼,포멀",사계절,가벼운,"프루티,머스크,우디,앰버,파우더리",,,,프레드릭엠,38,,,,,,,,,,,
39,왓아이디드온마이홀리데이EDP,중성,캐쥬얼,"봄,여름",가벼운,"바닐라,아로마틱,코코넛,그린,마린",,,,4160튜즈데이,39,,,,,,,,,,,
40,마르세유EDP,중성,캐쥬얼,"봄,여름,가을",중간,"머스크,플로럴,파우더리,시트러스,프레쉬",,,,꼼데가르송,40,,,,,,,,,,,
40,인센스 교토EDP,남성,포멀,"가을,겨울",무거운,"우디,아로마틱,앰버,스모키,스파이시",,,,꼼데가르송,,,,,,,,,,,,
40,히노키EDP,남성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"우디,아로마틱,프레쉬,스파이시,스모키",,,,꼼데가르송,,,,,,,,,,,,
40,블루 상탈EDP,남성,"캐쥬얼,포멀",사계절,중간,"우디,아로마틱,스파이시,파우더리,그린",,,,꼼데가르송,,,,,,,,,,,,
41,터치 포맨EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,머스크,워터리,아로마틱,파우더리",,,,버버리,41,,,,,,,,,,,
42,파코라반 울트라 바이올렛EDP,남성,포멀,"가을,겨울",무거운,"플로럴,파우더리,스파이시,우디,프레쉬",,,,파코라반,42,,,,,,,,,,,
43,라이트블루EDT,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,프레쉬,프루티,머스크",,,,돌체앤가바나,43,,,,,,,,,,,
44,알렉산드리아2EDP,중성,포멀,"가을,겨울",무거운,"우디,앰버,파우더리,스파이시,바닐라",,,,제르조프,44,,,,,,,,,,,
44,낙소스EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"바닐라,타바코,라벤더,시트러스,스파이시",,,,제르조프,,,,,,,,,,,,
44,아폴로니아EDP,중성,"캐쥬얼,포멀",사계절,중간,"파우더리,머스크,플로럴,얼씨,프레쉬",,,,제르조프,,,,,,,,,,,,
44,니오EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,그린,아로마틱,우디,플로럴",,,,제르조프,,,,,,,,,,,,
44,에르바퓨라EDP,중성,캐쥬얼,"봄,여름",가벼운,"프루티,시트러스,머스크,파우더리,바닐라",,,,제르조프,,,,,,,,,,,,
45,메리미EDT,여성,캐쥬얼,"봄,여름",가벼운,"플로럴,시트러스,프루티,로즈,프레쉬",,,,랑방,45,,,,,,,,,,,
45,잔느EDT,여성,캐쥬얼,"봄,여름",가벼운,"프루티,로즈,플로럴,프레쉬,머스크",,,,랑방,,,,,,,,,,,,
46,에어리스EDT,여성,캐쥬얼,"봄,여름",가벼운,"프루티,시트러스,프레쉬,플로럴,부지",,,,패리스힐튼,46,,,,,,,,,,,
46,데즐EDT,여성,캐쥬얼,"봄,여름",가벼운,"프루티,바닐라,파우더리,너티,부지",,,,패리스힐튼,,,,,,,,,,,,
47,리브르EDT,여성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"플로럴,시트러스,머스크,프레쉬,바닐라",,,,입생로랑,47,,,,,,,,,,,
47,몽파리팜므EDP,여성,"캐쥬얼,포멀","봄,여름",가벼운,"프루티,프레쉬,플로럴,시트러스,우디",,,,입생로랑,,,,,,,,,,,,
48,블로썸EDP,여성,"캐쥬얼,포멀","봄,여름",가벼운,"프루티,로즈,플로럴,프레쉬,시트러스",,,,지미추,48,,,,,,,,,,,
